DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
230316442;09/11/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);09/10/2023 12:00:00 AM;1630;3;359;0; ;ELEMENTARY SCHOOL                           ;               ;IC
230308017;03/19/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;03/19/2023 12:00:00 AM;2018;3;355;22;F;SINGLE FAMILY DWELLING                      ;400;AO
230318160;10/14/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;10/14/2023 12:00:00 AM;1300;3;314;54;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
230318076;10/13/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;10/13/2023 12:00:00 AM;900;3;377;27;F;SINGLE FAMILY DWELLING                      ;400;AO
230311962;06/08/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;06/08/2023 12:00:00 AM;850;3;375;53;F;OTHER BUSINESS                              ;400;IC
230316785;09/17/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);09/12/2023 12:00:00 AM;1530;3;356;0; ;STREET                                      ;               ;AO
230314241;07/27/2023 12:00:00 AM;Southwest  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;07/27/2023 12:00:00 AM;2000;3;361;39;M;MARKET                                      ;               ;IC
230311714;06/01/2023 12:00:00 AM;Southwest  ;PICKPOCKET                                              ;05/27/2023 12:00:00 AM;2245;3;378;22;F;SIDEWALK                                    ;               ;IC
230308718;04/02/2023 12:00:00 AM;Southwest  ;EXTORTION                                               ;03/29/2023 12:00:00 AM;839;3;357;22;M;CYBERSPACE                                  ;               ;IC
230305203;01/25/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);01/24/2023 12:00:00 AM;2000;3;358;0; ;STREET                                      ;               ;IC
230317189;09/23/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;09/23/2023 12:00:00 AM;1800;3;317;25;M;SINGLE FAMILY DWELLING                      ;400;AO
230316881;09/18/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;09/18/2023 12:00:00 AM;1441;3;317;55;F;STREET                                      ;400;IC
230312851;06/28/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;06/27/2023 12:00:00 AM;2045;3;326;32;F;SINGLE FAMILY DWELLING                      ;               ;IC
230315642;08/26/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/25/2023 12:00:00 AM;930;3;311;48;F;SINGLE FAMILY DWELLING                      ;400;AO
230313175;07/05/2023 12:00:00 AM;Southwest  ;ROBBERY                                                 ;07/05/2023 12:00:00 AM;1455;3;379;26;F;SIDEWALK                                    ;400;IC
230308912;04/05/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;04/05/2023 12:00:00 AM;2015;3;395;29;M;VEHICLE, PASSENGER/TRUCK                    ;               ;IC
230309901;04/25/2023 12:00:00 AM;Southwest  ;ATTEMPTED ROBBERY                                       ;04/25/2023 12:00:00 AM;945;3;333;27;F;STREET                                      ;223;IC
230319956;11/16/2023 12:00:00 AM;Southwest  ;BRANDISH WEAPON                                         ;11/16/2023 12:00:00 AM;1815;3;375;29;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);500;AO
230315510;08/23/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;08/21/2023 12:00:00 AM;537;3;319;22;X;OTHER BUSINESS                              ;               ;IC
230314914;08/06/2023 12:00:00 AM;Southwest  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;08/05/2023 12:00:00 AM;1930;3;378;26;M;OTHER/OUTSIDE                               ;               ;IC
230320411;11/27/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;11/20/2023 12:00:00 AM;1600;3;317;24;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AA
230320119;11/21/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;11/20/2023 12:00:00 AM;1205;3;363;22;F;STREET                                      ;400;AA
230300595;03/25/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;03/25/2023 12:00:00 AM;2110;3;356;32;M;OTHER BUSINESS                              ;201;AA
230312027;06/09/2023 12:00:00 AM;Southwest  ;VIOLATION OF COURT ORDER                                ;06/09/2023 12:00:00 AM;1800;3;314;57;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
230315025;08/07/2023 12:00:00 AM;Southwest  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;08/04/2023 12:00:00 AM;1600;3;335;0;X;ELEMENTARY SCHOOL                           ;               ;IC
230304869;01/17/2023 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;01/12/2023 12:00:00 AM;1730;3;393;49;F;STREET                                      ;               ;IC
230301107;12/16/2023 12:00:00 AM;Southwest  ;INDECENT EXPOSURE                                       ;12/16/2023 12:00:00 AM;2300;3;315;72;M;SINGLE FAMILY DWELLING                      ;               ;IC
230317485;10/02/2023 12:00:00 AM;Southwest  ;BIKE - STOLEN                                           ;10/01/2023 12:00:00 AM;1935;3;328;20;F;COLLEGE/JUNIOR COLLEGE/UNIVERSITY           ;               ;IC
230305091;01/24/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);01/23/2023 12:00:00 AM;1450;3;358;0; ;STREET                                      ;               ;IC
230304218;01/05/2023 12:00:00 AM;Southwest  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;01/05/2023 12:00:00 AM;540;3;338;49;F;SINGLE FAMILY DWELLING                      ;511;IC
230306470;02/17/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;02/07/2023 12:00:00 AM;1045;3;353;0; ;PARKING LOT                                 ;               ;IC
230317751;10/07/2023 12:00:00 AM;Southwest  ;VIOLATION OF RESTRAINING ORDER                          ;10/07/2023 12:00:00 AM;1530;3;353;52;F;SINGLE FAMILY DWELLING                      ;               ;IC
230304570;01/12/2023 12:00:00 AM;Southwest  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;01/12/2023 12:00:00 AM;700;3;396;59;M;GARAGE/CARPORT                              ;511;AO
230321245;12/15/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;12/12/2023 12:00:00 AM;1600;3;316;0; ;GARAGE/CARPORT                              ;               ;IC
230312581;06/22/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;06/17/2023 12:00:00 AM;520;3;392;45;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
230318138;10/14/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;10/14/2023 12:00:00 AM;2050;3;337;21;F;SIDEWALK                                    ;400;IC
230310536;05/06/2023 12:00:00 AM;Southwest  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;05/04/2023 12:00:00 AM;1600;3;351;31;F;OTHER PREMISE                               ;               ;IC
230307462;03/08/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;03/05/2023 12:00:00 AM;945;3;357;22;X;SYNAGOGUE/TEMPLE                            ;               ;IC
230317972;10/12/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);10/11/2023 12:00:00 AM;2317;3;357;0; ;STREET                                      ;               ;IC
230321260;12/15/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;12/14/2023 12:00:00 AM;2000;3;362;22;X;OTHER BUSINESS                              ;               ;IC
230312358;06/16/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;06/16/2023 12:00:00 AM;2300;3;392;18;F;SINGLE FAMILY DWELLING                      ;400;IC
230304539;01/12/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;01/10/2023 12:00:00 AM;2200;3;335;0; ;STREET                                      ;               ;IC
230318636;10/23/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;10/23/2023 12:00:00 AM;108;3;363;22;F;PARKING LOT                                 ;400;IC
