DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
232013604;08/03/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;08/03/2023 12:00:00 AM;900;20;2025;66;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;624;0913 1202 0444 0400 0603;A;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;300 S  NORMANDIE                    AV
232017019;10/24/2023 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;10/24/2023 12:00:00 AM;2130;20;2069;39;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;745;0329 1307 1822;H;502;;Invest Cont;1100 S  WESTMORELAND                 AV
232016676;10/16/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;10/15/2023 12:00:00 AM;2000;20;2042;0; ;PARKING LOT                                 ;               ;IC;1;510;;;108;;Invest Cont;800 S  SAINT ANDREWS                PL
232001053;11/22/2023 12:00:00 AM;Olympic    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;11/22/2023 12:00:00 AM;1910;20;2034;32;M;SIDEWALK                                    ;200;AO;1;230;0334 0445 1402 1822 2021;H;102;KNIFE WITH BLADE 6INCHES OR LESS;Adult Other;WILSHIRE
232017138;10/26/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;10/16/2023 12:00:00 AM;2300;20;2039;57;M;MISSIONS/SHELTERS                           ;               ;IC;1;440;1822 0344;W;517;;Invest Cont;600 S  HOOVER                       ST
232004820;01/22/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;01/22/2023 12:00:00 AM;2320;20;2026;27;M;STREET                                      ;400;IC;2;624;0342 0216 0416 1206 0429 0446 2033 1822;H;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;3RD
242004169;01/04/2024 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;11/22/2023 12:00:00 AM;1;20;2062;0;X;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;745;0329 0311 1822;X;122;;Invest Cont;3100 W  PICO                         BL
232004788;01/21/2023 12:00:00 AM;Olympic    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;01/21/2023 12:00:00 AM;720;20;2033;64;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;745;1202 0329 1822;B;502;;Invest Cont;800 S  OXFORD                       AV
232015720;09/21/2023 12:00:00 AM;Olympic    ;VEHICLE - STOLEN                                        ;09/20/2023 12:00:00 AM;1830;20;2055;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;OLYMPIC
232017466;10/13/2023 12:00:00 AM;Olympic    ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;10/13/2023 12:00:00 AM;1305;20;2023;0;X;CELL PHONE STORE                            ;               ;IC;1;442;1822 0344 0325 0346;X;248;;Invest Cont;400 S  WESTERN                      AV
