DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
221305923;01/26/2022 12:00:00 AM;Newton     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;12/25/2020 12:00:00 AM;2200;13;1353;16;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
231321415;11/30/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;07/06/2020 12:00:00 AM;1245;13;1361;42;M;CYBERSPACE                                  ;               ;IC
231317622;09/20/2023 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        ;09/11/2020 12:00:00 AM;1100;13;1377;0; ;STREET                                      ;               ;IC
231308569;04/01/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;900;13;1391;19;F;CYBERSPACE                                  ;               ;IC
221320934;11/14/2022 12:00:00 AM;Newton     ;RAPE, FORCIBLE                                          ;04/27/2020 12:00:00 AM;2300;13;1331;53;F;STREET                                      ;400;IC
221306072;02/09/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;08/05/2020 12:00:00 AM;1240;13;1333;20;M;CYBERSPACE                                  ;               ;IC
231307252;03/03/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;07/05/2020 12:00:00 AM;2305;13;1391;22;F;CYBERSPACE                                  ;               ;IC
221322455;12/14/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;08/31/2020 12:00:00 AM;1201;13;1371;48;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
221308375;03/21/2022 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;02/04/2020 12:00:00 AM;2115;13;1361;40;F;SINGLE FAMILY DWELLING                      ;215;IC
221305642;02/03/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;05/01/2020 12:00:00 AM;800;13;1395;42;F;STREET                                      ;               ;IC
221310643;05/04/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;06/03/2020 12:00:00 AM;1425;13;1325;26;F;CYBERSPACE                                  ;               ;IC
231304936;01/17/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;11/17/2020 12:00:00 AM;1250;13;1313;50;F;CYBERSPACE                                  ;               ;IC
231306429;02/16/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1410;13;1362;30;F;CYBERSPACE                                  ;               ;IC
221307404;03/04/2022 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;11/16/2020 12:00:00 AM;200;13;1372;33;F;SINGLE FAMILY DWELLING                      ;500;IC
231306038;02/09/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;03/02/2020 12:00:00 AM;1340;13;1393;77;M;CYBERSPACE                                  ;               ;IC
221307738;03/08/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;02/15/2020 12:00:00 AM;1130;13;1377;31;M;CYBERSPACE                                  ;               ;IC
221322193;12/09/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;06/09/2020 12:00:00 AM;2035;13;1373;39;M;OTHER BUSINESS                              ;               ;IC
