DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC
232009647;05/08/2023 12:00:00 AM;Olympic    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;03/13/2023 12:00:00 AM;1100
232018330;11/24/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;11/24/2023 12:00:00 AM;1150
232015277;09/11/2023 12:00:00 AM;Olympic    ;THEFT OF IDENTITY                                       ;09/01/2023 12:00:00 AM;800
232006001;02/16/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;02/14/2023 12:00:00 AM;2000
242005893;02/12/2024 12:00:00 AM;Olympic    ;DOCUMENT FORGERY / STOLEN FELONY                        ;12/30/2023 12:00:00 AM;1000
232018094;11/20/2023 12:00:00 AM;Olympic    ;ATTEMPTED ROBBERY                                       ;11/20/2023 12:00:00 AM;340
232000639;03/16/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;03/15/2023 12:00:00 AM;1820
232017241;10/27/2023 12:00:00 AM;Olympic    ;BURGLARY FROM VEHICLE                                   ;10/26/2023 12:00:00 AM;2330
232019746;11/13/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/11/2023 12:00:00 AM;1900
232012182;06/29/2023 12:00:00 AM;Olympic    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;02/23/2023 12:00:00 AM;1545
232015654;09/20/2023 12:00:00 AM;Olympic    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;09/20/2023 12:00:00 AM;1
232009821;03/29/2023 12:00:00 AM;Olympic    ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;03/29/2023 12:00:00 AM;811
232018807;11/25/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/24/2023 12:00:00 AM;2030
232005812;02/14/2023 12:00:00 AM;Olympic    ;BATTERY - SIMPLE ASSAULT                                ;02/14/2023 12:00:00 AM;1800
232018231;11/21/2023 12:00:00 AM;Olympic    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;11/17/2023 12:00:00 AM;1800
232006581;03/03/2023 12:00:00 AM;Olympic    ;EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)                ;03/03/2023 12:00:00 AM;1115
232015360;09/13/2023 12:00:00 AM;Olympic    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;09/12/2023 12:00:00 AM;2300
232008174;04/12/2023 12:00:00 AM;Olympic    ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;04/09/2023 12:00:00 AM;930
232010456;05/20/2023 12:00:00 AM;Olympic    ;BURGLARY                                                ;05/19/2023 12:00:00 AM;230
