DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
201106373;02/22/2020 12:00:00 AM;Northeast  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;02/22/2020 12:00:00 AM;200;11;1135;33;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AA;2;740;0329 1609;W;502;;Adult Arrest;3600    CAZADOR                      ST
201111802;07/24/2020 12:00:00 AM;Northeast  ;DOCUMENT FORGERY / STOLEN FELONY                        ;07/17/2020 12:00:00 AM;1200;11;1133;31;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;649;1817 0361 1810;W;501;;Invest Cont;3100    ATWATER                      AV
201115674;11/12/2020 12:00:00 AM;Northeast  ;BUNCO, PETTY THEFT                                      ;11/10/2020 12:00:00 AM;945;11;1126;20;M;OTHER BUSINESS                              ;               ;IC;2;664;0701 1019 1822;H;203;;Invest Cont;5200    YORK                         BL
201106573;02/27/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;02/19/2020 12:00:00 AM;1900;11;1183;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;1600    LUCRETIA                     AV
201112636;08/19/2020 12:00:00 AM;Northeast  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/19/2020 12:00:00 AM;100;11;1147;52;F;SINGLE FAMILY DWELLING                      ;400;AO;2;626;2000 0913 1814 0444;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;2900    DIVISION                     ST
201113481;09/11/2020 12:00:00 AM;Northeast  ;BATTERY - SIMPLE ASSAULT                                ;09/11/2020 12:00:00 AM;315;11;1133;59;F;SINGLE FAMILY DWELLING                      ;400;JA;2;624;0913 0444;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Juv Arrest;2900    GLENHURST                    AV
201100764;10/25/2020 12:00:00 AM;Northeast  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;10/24/2020 12:00:00 AM;1635;11;1151;0;X;STREET                                      ;               ;IC;2;745;0329 1402;X;101;;Invest Cont;HOLLYWOOD
201116558;12/12/2020 12:00:00 AM;Northeast  ;BURGLARY                                                ;12/11/2020 12:00:00 AM;2230;11;1181;27;M;STREET                                      ;               ;AA;1;310;0344 1300 1402 0907;W;101;;Adult Arrest;1400 N  ALVARADO                     ST
201115618;11/10/2020 12:00:00 AM;Northeast  ;BATTERY - SIMPLE ASSAULT                                ;11/10/2020 12:00:00 AM;2250;11;1177;49;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA;2;624;0444 0913 0360;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;600 W  AVENUE 27
201109648;05/22/2020 12:00:00 AM;Northeast  ;VEHICLE - STOLEN                                        ;05/22/2020 12:00:00 AM;1520;11;1149;0; ;PARKING LOT                                 ;               ;IC;1;510;;;108;;Invest Cont;5100 N  FIGUEROA                     ST
201107740;03/24/2020 12:00:00 AM;Northeast  ;BURGLARY FROM VEHICLE                                   ;03/17/2020 12:00:00 AM;1;11;1139;35;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;330;0385;J;502;;Invest Cont;300 S  AVENUE 57
201106880;03/04/2020 12:00:00 AM;Northeast  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;02/28/2020 12:00:00 AM;1755;11;1133;0;X;ELECTRONICS STORE (IE:RADIO SHACK, ETC.)    ;               ;IC;1;341;0325 1402 0913 0344;X;412;;Invest Cont;2700 E  MEDIA CENTER                 DR
201105581;02/05/2020 12:00:00 AM;Northeast  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;01/28/2020 12:00:00 AM;1230;11;1158;50;M;SINGLE FAMILY DWELLING                      ;               ;IC;2;740;0329;O;501;;Invest Cont;1100    ISABEL                       ST
201116858;12/22/2020 12:00:00 AM;Northeast  ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;12/22/2020 12:00:00 AM;521;11;1172;38;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;331;0344 1402;O;501;;Invest Cont;1400    ANGELUS                      AV
201106569;02/27/2020 12:00:00 AM;Northeast  ;BURGLARY                                                ;01/29/2020 12:00:00 AM;1000;11;1183;71;F;PUBLIC STORAGE                              ;               ;IC;1;310;0344 1202;H;221;;Invest Cont;1700    GLENDALE                     BL
