DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
211300505;01/02/2021 12:00:00 AM;Newton     ;SHOTS FIRED AT INHABITED DWELLING                       ;01/01/2021 12:00:00 AM;5;13;1342;47;M;GARAGE/CARPORT                              ;109;IC;1;251;1100 0302 1407 1822;H;707;SEMI-AUTOMATIC PISTOL;Invest Cont;100 E  36TH                         PL
211305810;02/11/2021 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;02/11/2021 12:00:00 AM;1140;13;1383;20;F;STREET                                      ;400;IC;2;626;2000 0416 1814 1218;B;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;5800 S  SAN PEDRO                    ST
211312749;07/15/2021 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;07/15/2021 12:00:00 AM;600;13;1367;54;M;STREET                                      ;312;IC;1;230;1822 0416 0411 1218 2060;W;101;PIPE/METAL PIPE;Invest Cont;50TH                         ST
221308056;03/16/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;12/17/2021 12:00:00 AM;1411;13;1352;36;M;STREET                                      ;               ;IC;2;354;0344;H;101;;Invest Cont;200 E  43RD                         ST
211309509;05/10/2021 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;05/10/2021 12:00:00 AM;820;13;1323;41;F;SINGLE FAMILY DWELLING                      ;109;IC;1;230;1822 0334 0302 0355 0216 0202;B;501;SEMI-AUTOMATIC PISTOL;Invest Cont;700 E  24TH                         ST
211307615;03/24/2021 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        ;03/23/2021 12:00:00 AM;2000;13;1352;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;4500    WALL                         ST
211314155;08/12/2021 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;08/09/2021 12:00:00 AM;2330;13;1327;28;M;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;740;0329 1300;H;122;;Invest Cont;1700 E  22ND                         ST
211315657;09/11/2021 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        ;09/10/2021 12:00:00 AM;1800;13;1367;0; ;PARKING LOT                                 ;               ;IC;1;510;;;108;;Invest Cont;1800 E  50TH                         ST
211313773;08/05/2021 12:00:00 AM;Newton     ;ATTEMPTED ROBBERY                                       ;08/05/2021 12:00:00 AM;300;13;1351;20;M;SIDEWALK                                    ;102;IC;1;220;1822 0342 0305 1309 0432 0416 1281 0420;H;102;HAND GUN;Invest Cont;42ND                         ST
211312889;07/17/2021 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;07/17/2021 12:00:00 AM;1400;13;1344;29;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;626;2000 1814 0448;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;4100    AVALON                       BL
211308144;04/05/2021 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                ;04/05/2021 12:00:00 AM;1308;13;1303;34;M;PARKING LOT                                 ;400;IC;2;624;0446;H;108;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1200 E  OLYMPIC                      BL
211313802;08/04/2021 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;08/02/2021 12:00:00 AM;100;13;1393;20;F;STREET                                      ;312;AO;1;230;0342 0416 0913;B;101;PIPE/METAL PIPE;Adult Other;6900 S  MAIN                         ST
211309734;05/16/2021 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   ;05/16/2021 12:00:00 AM;30;13;1341;21;F;STREET                                      ;               ;IC;1;330;0344 1300 0329 1609 1307;W;101;;Invest Cont;38TH                         ST
211316498;09/27/2021 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        ;09/27/2021 12:00:00 AM;300;13;1362;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;50TH                         ST
211311665;06/24/2021 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;06/21/2021 12:00:00 AM;2100;13;1363;31;F;STREET                                      ;               ;IC;1;440;0344;H;101;;Invest Cont;600 E  47TH                         ST
211308646;04/17/2021 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                ;04/09/2021 12:00:00 AM;1830;13;1385;56;F;DRUG STORE                                  ;400;IC;2;624;0356 0416 1300 1309 0216;W;403;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;5800 S  CENTRAL                      AV
211310196;05/25/2021 12:00:00 AM;Newton     ;VIOLATION OF COURT ORDER                                ;05/25/2021 12:00:00 AM;1545;13;1343;25;F;SIDEWALK                                    ;               ;IC;2;900;2038;H;102;;Invest Cont;1000 E  41ST                         ST
211313000;07/20/2021 12:00:00 AM;Newton     ;BURGLARY                                                ;07/20/2021 12:00:00 AM;845;13;1307;46;F;HOTEL                                       ;               ;IC;1;310;0358 0344;H;503;;Invest Cont;700 E  9TH                          ST
211311972;06/30/2021 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;06/29/2021 12:00:00 AM;1700;13;1327;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;1400 E  25TH                         ST
211306737;03/02/2021 12:00:00 AM;Newton     ;OTHER ASSAULT                                           ;02/28/2021 12:00:00 AM;1200;13;1385;38;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;625;0356 0603 0360;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;400 E  59TH                         PL
211317108;10/07/2021 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                ;10/07/2021 12:00:00 AM;2300;13;1362;54;F;SINGLE FAMILY DWELLING                      ;400;AO;2;624;2000 0416;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;400 E  48TH                         ST
211305123;01/26/2021 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                ;01/26/2021 12:00:00 AM;1700;13;1353;57;M;SINGLE FAMILY DWELLING                      ;400;AO;2;624;0305 0444 0361 0429;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;800 E  46TH                         ST
211317182;10/10/2021 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                ;10/09/2021 12:00:00 AM;1315;13;1354;62;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;624;0416;H;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;4000    WOODLAWN                     AV
211300760;05/10/2021 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;05/09/2021 12:00:00 AM;400;13;1354;60;M;SIDEWALK                                    ;500;AO;1;230;0913 0334 0411 0603 0361;H;102;UNKNOWN WEAPON/OTHER WEAPON;Adult Other;4000    ADAIR                        ST
211304344;01/08/2021 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;01/07/2021 12:00:00 AM;2345;13;1377;63;M;VEHICLE, PASSENGER/TRUCK                    ;102;IC;2;740;0329;B;122;HAND GUN;Invest Cont;5300    LONG BEACH                   AV
211315265;09/03/2021 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;09/03/2021 12:00:00 AM;930;13;1367;0;X;MTA - BLUE LINE - VERNON                    ;               ;AA;1;341;0910 1402 0344 1602;X;936;;Adult Arrest;5000    LONG BEACH                   AV
211307728;03/26/2021 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;03/23/2021 12:00:00 AM;1600;13;1331;49;F;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;740;0329;H;122;;Invest Cont;2800 S  HOPE                         ST
221307809;03/04/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       ;11/14/2021 12:00:00 AM;900;13;1361;22;F;CYBERSPACE                                  ;               ;IC;2;354;1822 0100;B;750;;Invest Cont;200 W  49TH                         ST
211305872;02/13/2021 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;02/13/2021 12:00:00 AM;250;13;1383;39;F;SINGLE FAMILY DWELLING                      ;400;AA;2;626;0416 2000 0913;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;5800    INSKEEP                      AV
211311214;06/15/2021 12:00:00 AM;Newton     ;THEFT PLAIN - ATTEMPT                                   ;06/11/2021 12:00:00 AM;1700;13;1353;48;F;OTHER BUSINESS                              ;               ;IC;1;441;0344 1402;W;203;;Invest Cont;4600 S  CENTRAL                      AV
211319258;11/20/2021 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                ;11/20/2021 12:00:00 AM;1045;13;1362;36;F;STREET                                      ;400;IC;2;624;0913 0416;B;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;51ST                         ST
211306913;03/07/2021 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        ;03/06/2021 12:00:00 AM;1600;13;1333;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;28TH                         ST
211309204;05/01/2021 12:00:00 AM;Newton     ;KIDNAPPING                                              ;04/30/2021 12:00:00 AM;2200;13;1322;56;F;STREET                                      ;400;IC;2;910;0913 2000 0446 0416 1310 0408 0451 0421;H;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;ADAMS                        BL
