DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
221813187;06/23/2022 12:00:00 AM;Southeast  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;06/23/2022 12:00:00 AM;1740;18;1881;0;X;CLOTHING STORE                              ;               ;IC;1;341;1822 0325;X;405;;Invest Cont;700 W  REDONDO BEACH                BL
221814585;07/20/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;04/08/2022 12:00:00 AM;1205;18;1831;31;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0922 1822;W;501;;Invest Cont;700    LACONIA                      BL
221819802;10/28/2022 12:00:00 AM;Southeast  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;10/28/2022 12:00:00 AM;1150;18;1829;59;M;RESTAURANT/FAST FOOD                        ;               ;IC;1;341;1822 0344 0346 0216;H;210;;Invest Cont;2300 E  CENTURY                      BL
221807866;03/20/2022 12:00:00 AM;Southeast  ;BATTERY - SIMPLE ASSAULT                                ;03/20/2022 12:00:00 AM;2100;18;1862;49;F;SINGLE FAMILY DWELLING                      ;400;IC;2;624;0913 0444 0429;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;100 E  116TH                        ST
221806281;02/19/2022 12:00:00 AM;Southeast  ;BATTERY - SIMPLE ASSAULT                                ;02/19/2022 12:00:00 AM;1900;18;1844;64;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);500;IC;2;624;1822 0443 0432;B;502;UNKNOWN WEAPON/OTHER WEAPON;Invest Cont;11100    AVALON                       BL
221817492;09/16/2022 12:00:00 AM;Southeast  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;09/16/2022 12:00:00 AM;2035;18;1841;31;M;SIDEWALK                                    ;106;IC;1;230;0430 1100 1300 1407;H;102;UNKNOWN FIREARM;Invest Cont;115TH
221812010;06/04/2022 12:00:00 AM;Southeast  ;VEHICLE - STOLEN                                        ;06/03/2022 12:00:00 AM;730;18;1803;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;200 E  87TH                         ST
221817695;09/20/2022 12:00:00 AM;Southeast  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;09/20/2022 12:00:00 AM;1835;18;1801;43;M;STREET                                      ;303;IC;1;230;1822 1300 0416 0429 0417 0605;H;101;BRASS KNUCKLES;Invest Cont;90TH                         ST
221819522;10/23/2022 12:00:00 AM;Southeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;10/22/2022 12:00:00 AM;1700;18;1822;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;10200 S  FIGUEROA                     ST
221813405;06/28/2022 12:00:00 AM;Southeast  ;VEHICLE - STOLEN                                        ;06/27/2022 12:00:00 AM;2200;18;1824;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;STANFORD
221814404;07/18/2022 12:00:00 AM;Southeast  ;BATTERY - SIMPLE ASSAULT                                ;07/15/2022 12:00:00 AM;1600;18;1846;13;F;STREET                                      ;400;IC;2;624;1822 0400 0417 0416 0446 0432 0342 1251 1259;B;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1400 E  114TH                        ST
221814571;07/22/2022 12:00:00 AM;Southeast  ;VEHICLE - STOLEN                                        ;07/19/2022 12:00:00 AM;2100;18;1862;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;118TH
221817571;09/18/2022 12:00:00 AM;Southeast  ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/01/2022 12:00:00 AM;1;18;1842;3;F;SINGLE FAMILY DWELLING                      ;400;IC;2;812;0342 0913 1257 0551 0552 0558;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;10900 S  MAIN                         ST
221816806;09/03/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;09/02/2022 12:00:00 AM;100;18;1827;28;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0930 1822;B;502;;Invest Cont;10100    WILMINGTON                   AV
221815955;08/18/2022 12:00:00 AM;Southeast  ;VEHICLE - STOLEN                                        ;08/18/2022 12:00:00 AM;200;18;1823;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;103RD                        ST
221817572;09/18/2022 12:00:00 AM;Southeast  ;BATTERY - SIMPLE ASSAULT                                ;09/18/2022 12:00:00 AM;900;18;1844;31;F;STREET                                      ;400;IC;2;624;0408 0913 0416 0319 0551;H;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;112TH                        ST
221806672;02/28/2022 12:00:00 AM;Southeast  ;BATTERY - SIMPLE ASSAULT                                ;02/28/2022 12:00:00 AM;1530;18;1862;53;M;TRANSITIONAL HOUSING/HALFWAY HOUSE          ;400;IC;2;624;0913 0400 0446 0416;H;518;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;100 E  119TH                        ST
221813533;06/30/2022 12:00:00 AM;Southeast  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;06/30/2022 12:00:00 AM;1700;18;1844;26;M;STREET                                      ;102;IC;1;230;0319 1822 0302 1300 0342 0216 0906 0371;H;101;HAND GUN;Invest Cont;900 E  112TH                        ST
221819957;11/01/2022 12:00:00 AM;Southeast  ;ROBBERY                                                 ;11/01/2022 12:00:00 AM;30;18;1864;20;M;LIQUOR STORE                                ;102;AA;1;210;0344 0308 0352 1822 0342 0302 0334 0432 1300;B;202;HAND GUN;Adult Arrest;12000 S  CENTRAL                      AV
221804605;01/13/2022 12:00:00 AM;Southeast  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;01/11/2022 12:00:00 AM;2130;18;1861;68;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;440;1202 0344 0913;B;501;;Invest Cont;600 W  118TH                        ST
221806854;03/03/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;03/03/2022 12:00:00 AM;227;18;1841;26;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0922;B;501;;Invest Cont;600 W  109TH                        PL
221805604;02/05/2022 12:00:00 AM;Southeast  ;VEHICLE - STOLEN                                        ;02/05/2022 12:00:00 AM;400;18;1824;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;800 E  94TH                         ST
221810659;05/12/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;05/12/2022 12:00:00 AM;405;18;1831;29;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100 1822;B;501;;Invest Cont;800 W  ATHENS                       BL
221820117;11/03/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;11/03/2022 12:00:00 AM;730;18;1834;36;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;1822 0922;H;501;;Invest Cont;700 E  108TH                        ST
221804563;01/12/2022 12:00:00 AM;Southeast  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;01/12/2022 12:00:00 AM;1130;18;1842;42;F;MOTEL                                       ;400;AO;2;930;2000 0913 0421 0422 1814 0432 0416;H;505;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;11300 S  FIGUEROA                     ST
221810875;05/16/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;03/20/2022 12:00:00 AM;1255;18;1864;46;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0928 1822;B;501;;Invest Cont;1100 E  118TH                        PL
221804331;01/07/2022 12:00:00 AM;Southeast  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/07/2022 12:00:00 AM;1945;18;1836;25;F;SINGLE FAMILY DWELLING                      ;400;AO;2;626;2000 1814 0913 0416 0408 0429;H;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;1200 E  108TH                        ST
221800544;02/27/2022 12:00:00 AM;Southeast  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;02/27/2022 12:00:00 AM;2315;18;1822;36;M;GAS STATION                                 ;109;AA;1;230;0302 1822 1419 1407 1300;H;301;SEMI-AUTOMATIC PISTOL;Adult Arrest;CENTURY                      BL
221810044;05/02/2022 12:00:00 AM;Southeast  ;VEHICLE - STOLEN                                        ;05/01/2022 12:00:00 AM;2200;18;1834;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;106TH                        ST
221813505;06/29/2022 12:00:00 AM;Southeast  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;06/17/2022 12:00:00 AM;220;18;1891;41;M;WEBSITE                                     ;               ;IC;1;440;0344 1822;F;751;;Invest Cont;600 W  171ST                        ST
221808006;03/23/2022 12:00:00 AM;Southeast  ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;02/26/2022 12:00:00 AM;1200;18;1821;0; ;STREET                                      ;               ;IC;1;420;;;101;;Invest Cont;9800 S  VERMONT                      AV
221810542;05/10/2022 12:00:00 AM;Southeast  ;THEFT OF IDENTITY                                       ;05/10/2022 12:00:00 AM;5;18;1824;46;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0100 1822 0922;B;501;;Invest Cont;10300 S  CENTRAL                      AV
221812351;06/08/2022 12:00:00 AM;Southeast  ;BATTERY - SIMPLE ASSAULT                                ;06/08/2022 12:00:00 AM;1600;18;1829;32;F;YARD (RESIDENTIAL/BUSINESS)                 ;400;IC;2;624;0444 0400 0913 0602 0554;B;121;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;2100    99TH                         PL
221811816;06/01/2022 12:00:00 AM;Southeast  ;BATTERY - SIMPLE ASSAULT                                ;05/31/2022 12:00:00 AM;2000;18;1827;46;F;SINGLE FAMILY DWELLING                      ;400;IC;2;624;0913 0342 0429 0416 1218;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;GRAPE                        ST
221819409;10/20/2022 12:00:00 AM;Southeast  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;10/20/2022 12:00:00 AM;2045;18;1823;14;M;STREET                                      ;102;IC;1;230;0450 1822 2024 1251 1259;B;101;HAND GUN;Invest Cont;400 E  103RD                        ST
