DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status;Part 1-2;Crm Cd;Mocodes;Vict Descent;Premis Cd;Weapon Desc;Status Desc;LOCATION
230318276;10/18/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;10/18/2023 12:00:00 AM;550;3;335;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;2300 W  29TH                         PL
230300509;01/10/2023 12:00:00 AM;Southwest  ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 ;01/09/2023 12:00:00 AM;2300;3;398;7;F;SINGLE FAMILY DWELLING                      ;400;AO;2;627;0400 0444 0913 0360 1258 0602;B;501;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;4000 S  HOOVER                       ST
230320849;12/05/2023 12:00:00 AM;Southwest  ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;10/17/2023 12:00:00 AM;1425;3;351;0; ;OTHER BUSINESS                              ;               ;IC;2;668;;;203;;Invest Cont;5000    OBAMA                        BL
230310396;05/04/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);05/02/2023 12:00:00 AM;1000;3;357;0; ;STREET                                      ;               ;AO;1;522;;;101;;Adult Other;VERMONT                      AV
230317757;10/05/2023 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;10/04/2023 12:00:00 AM;1445;3;325;21;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;440;1822 1251 0344;O;502;;Invest Cont;2800    ELLENDALE                    PL
230309184;04/11/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;04/10/2023 12:00:00 AM;1300;3;397;22;X;LIQUOR STORE                                ;               ;AA;2;740;0329 1822;X;202;;Adult Arrest;4200 S  VERMONT                      AV
230314701;08/08/2023 12:00:00 AM;Southwest  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;08/07/2023 12:00:00 AM;1606;3;301;24;M;SINGLE FAMILY DWELLING                      ;500;IC;2;930;1912 1822;W;501;UNKNOWN WEAPON/OTHER WEAPON;Invest Cont;5300 W  ADAMS                        BL
230308812;04/03/2023 12:00:00 AM;Southwest  ;OTHER MISCELLANEOUS CRIME                               ;04/03/2023 12:00:00 AM;2355;3;373;22;X;MTA - EXPO LINE - EXPO/CRENSHAW             ;               ;IC;2;946;1501 1822 0910;X;947;;Invest Cont;3400    EXPOSITION                   BL
230307601;03/10/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;03/10/2023 12:00:00 AM;1050;3;316;45;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);500;AO;1;230;1309 1218 0334 0419 0416 0445 1402 0448 1822 2021;B;502;UNKNOWN WEAPON/OTHER WEAPON;Adult Other;2200 S  WESTERN                      AV
230306930;02/25/2023 12:00:00 AM;Southwest  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;02/25/2023 12:00:00 AM;1115;3;356;54;M;VEHICLE, PASSENGER/TRUCK                    ;304;IC;2;745;0329 0913 1601 1307;B;122;CLUB/BAT;Invest Cont;1500 W  35TH                         PL
230319185;11/03/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);11/03/2023 12:00:00 AM;1000;3;358;0; ;STREET                                      ;               ;IC;1;522;;;101;;Invest Cont;600 W  35TH                         ST
230304476;01/10/2023 12:00:00 AM;Southwest  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;01/10/2023 12:00:00 AM;1520;3;373;22;X;GUN/SPORTING GOODS                          ;               ;IC;1;442;0104 0315 0325 1822 0344;X;205;;Invest Cont;3700    CRENSHAW                     BL
230317064;09/21/2023 12:00:00 AM;Southwest  ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;08/24/2023 12:00:00 AM;800;3;361;27;F;SINGLE FAMILY DWELLING                      ;               ;AO;2;956;0913 1906;H;501;;Adult Other;3900    STEVELY                      AV
230307966;03/19/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;03/18/2023 12:00:00 AM;2000;3;312;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;2800 S  ORANGE                       DR
230319156;11/02/2023 12:00:00 AM;Southwest  ;SEX OFFENDER REGISTRANT OUT OF COMPLIANCE               ;06/10/2023 12:00:00 AM;1;3;395;22;X;POLICE FACILITY                             ;               ;IC;2;845;;X;726;;Invest Cont;1500 W  MARTIN LUTHER KING JR        BL
230314896;08/10/2023 12:00:00 AM;Southwest  ;BURGLARY, ATTEMPTED                                     ;08/10/2023 12:00:00 AM;1100;3;357;23;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;320;1822 0342 1601 0329 1602 1251;A;502;;Invest Cont;3500 S  BUDLONG                      AV
230307513;03/09/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;03/09/2023 12:00:00 AM;1500;3;363;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;4000 S  MUIRFIELD                    RD
230315734;08/26/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;08/26/2023 12:00:00 AM;800;3;397;44;M;STREET                                      ;200;AA;1;230;0913 0334 1266;B;101;KNIFE WITH BLADE 6INCHES OR LESS;Adult Arrest;4100    DALTON                       AV
230304890;01/19/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;01/16/2023 12:00:00 AM;500;3;359;0; ;PARKING LOT                                 ;               ;IC;1;510;;;108;;Invest Cont;3700 S  FLOWER                       ST
230311842;06/05/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;06/05/2023 12:00:00 AM;100;3;305;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;2500    HILLCREST                    DR
230312560;06/22/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;06/21/2023 12:00:00 AM;1200;3;305;31;F;SIDEWALK                                    ;400;IC;2;626;1814 2000 0408 0400;B;102;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;2500    WEST                         BL
230305398;01/29/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;01/29/2023 12:00:00 AM;20;3;318;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;MAGNOLIA                     AV
230319242;10/16/2023 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;10/15/2023 12:00:00 AM;1245;3;399;30;M;YARD (RESIDENTIAL/BUSINESS)                 ;               ;IC;1;330;1822 0344 0385 1601 1300;F;121;;Invest Cont;400 W  40TH                         PL
230308418;03/27/2023 12:00:00 AM;Southwest  ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;03/26/2023 12:00:00 AM;2045;3;358;21;M;OTHER/OUTSIDE                               ;               ;IC;1;341;0605 2034 0344 1822;W;116;;Invest Cont;JEFFERSON                    BL
230305905;02/06/2023 12:00:00 AM;Southwest  ;RESISTING ARREST                                        ;02/06/2023 12:00:00 AM;910;3;358;22;X;COLLEGE/JUNIOR COLLEGE/UNIVERSITY           ;400;AO;2;437;1271 0917 0913;X;722;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;3600    MCCLINTOCK                   AV
230307488;03/06/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;03/06/2023 12:00:00 AM;1445;3;351;22;X;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;740;0342 1822 0329 1300;X;122;;Invest Cont;3500    FARMDALE                     AV
230320359;11/25/2023 12:00:00 AM;Southwest  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;11/24/2023 12:00:00 AM;2100;3;361;34;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);511;IC;2;930;0913 0443;B;502;VERBAL THREAT;Invest Cont;4800    LINSCOTT                     PL
230317153;09/23/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;09/23/2023 12:00:00 AM;205;3;355;23;M;STREET                                      ;400;AA;2;626;0329 0913 2000 1814 0416 0446;H;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;3500    CIMARRON                     ST
230313657;07/16/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;07/16/2023 12:00:00 AM;200;3;317;25;M;SIDEWALK                                    ;400;IC;2;624;1822 0416 0446 0417 0202 0342;H;102;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;VERMONT                      AV
230320780;12/04/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;11/30/2023 12:00:00 AM;1400;3;335;35;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;2;354;0100 1822 0922 0930;H;502;;Invest Cont;3800 W  MONT CLAIR                   ST
230300619;04/11/2023 12:00:00 AM;Southwest  ;BRANDISH WEAPON                                         ;04/11/2023 12:00:00 AM;1915;3;376;37;M;STREET                                      ;102;IC;1;761;0334 0342 0432 1309 1822;W;101;HAND GUN;Invest Cont;39TH                         ST
230309053;04/08/2023 12:00:00 AM;Southwest  ;TRESPASSING                                             ;04/08/2023 12:00:00 AM;830;3;331;22;X;MTA - EXPO LINE - EXPO/LA BREA              ;               ;AO;2;888;0910 1501 1822;X;949;;Adult Other;5000    EXPOSITION                   BL
230321277;12/11/2023 12:00:00 AM;Southwest  ;VEHICLE - ATTEMPT STOLEN                                ;12/11/2023 12:00:00 AM;2000;3;312;29;F;PARKING LOT                                 ;               ;IC;1;520;0342 1822 0216 2024 0329 1307;B;108;;Invest Cont;FERNDALE
230312448;06/19/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;06/19/2023 12:00:00 AM;1900;3;393;26;F;STREET                                      ;400;AO;2;624;1817 0416 0446 0401 1266;B;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;EDGEHILL                     DR
230304174;01/04/2023 12:00:00 AM;Southwest  ;THEFT OF IDENTITY                                       ;01/01/2023 12:00:00 AM;800;3;333;80;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;354;0929 1822;H;501;;Invest Cont;3800 W  30TH                         ST
230317242;09/26/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;09/25/2023 12:00:00 AM;3;3;327;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;1100 W  28TH                         ST
230313439;06/20/2023 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;06/14/2023 12:00:00 AM;1730;3;399;31;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC;1;440;0344 0394 1822;B;502;;Invest Cont;4000 S  FIGUEROA                     ST
230305315;01/27/2023 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;01/27/2023 12:00:00 AM;300;3;361;49;F;STREET                                      ;               ;IC;1;330;1307 1822 0344 0358 0352 1302;B;101;;Invest Cont;3900    GIBRALTAR                    AV
230319547;11/10/2023 12:00:00 AM;Southwest  ;CRIMINAL HOMICIDE                                       ;11/10/2023 12:00:00 AM;1330;3;361;19;M;STREET                                      ;109;AA;1;110;0913 1100 1402 0430 0906;H;101;SEMI-AUTOMATIC PISTOL;Adult Arrest;4000 S  LA BREA                      AV
230308865;04/05/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;04/05/2023 12:00:00 AM;200;3;353;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;3600    SOMERSET                     DR
230304658;01/14/2023 12:00:00 AM;Southwest  ;BURGLARY                                                ;01/14/2023 12:00:00 AM;1145;3;332;37;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;310;0358 1402 1822 0342 0216 0206 1609 0329 0321 0344;W;501;;Invest Cont;2900    POTOMAC                      AV
230314968;08/07/2023 12:00:00 AM;Southwest  ;PICKPOCKET                                              ;08/05/2023 12:00:00 AM;2125;3;378;29;F;COLISEUM                                    ;               ;IC;1;352;1822 0344;W;712;;Invest Cont;3900 S  FIGUEROA                     ST
230316240;09/07/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;09/07/2023 12:00:00 AM;220;3;312;32;F;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;740;0329 1307 1822;H;122;;Invest Cont;2600 S  ORANGE                       DR
230311786;06/04/2023 12:00:00 AM;Southwest  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;06/04/2023 12:00:00 AM;600;3;363;25;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AO;2;745;0329 0554;B;502;;Adult Other;4100    SANTA ROSALIA                DR
230310903;05/15/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;05/15/2023 12:00:00 AM;2116;3;325;23;F;SIDEWALK                                    ;500;IC;2;624;1822 1309 1251 0416 0449;X;102;UNKNOWN WEAPON/OTHER WEAPON;Invest Cont;ADAMS                        BL
230311387;05/25/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;05/25/2023 12:00:00 AM;400;3;362;54;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);201;AA;1;230;0913 0334 0444 0561 0602 0429;H;502;KNIFE WITH BLADE OVER 6 INCHES IN LENGTH;Adult Arrest;4000    GELBER                       PL
230308745;04/03/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;04/03/2023 12:00:00 AM;1350;3;395;60;M;SIDEWALK                                    ;500;IC;1;230;0370 1822 0416 0445 1202 1402;B;102;UNKNOWN WEAPON/OTHER WEAPON;Invest Cont;4200 S  HOBART                       BL
230317041;09/21/2023 12:00:00 AM;Southwest  ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  ;09/21/2023 12:00:00 AM;1300;3;356;19;F;MTA - EXPO LINE - EXPO/WESTERN              ;511;AA;2;930;1822 1251 0910 1402 2052 0421 2050;H;946;VERBAL THREAT;Adult Arrest;1500    EXPOSITION                   BL
230305609;02/02/2023 12:00:00 AM;Southwest  ;VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC);01/20/2023 12:00:00 AM;1030;3;311;0; ;SIDEWALK                                    ;               ;IC;1;522;;;102;;Invest Cont;3300    LA CIENEGA                   BL
230320310;11/25/2023 12:00:00 AM;Southwest  ;THEFT PLAIN - PETTY ($950 & UNDER)                      ;11/22/2023 12:00:00 AM;1745;3;375;27;M;SINGLE FAMILY DWELLING                      ;               ;IC;1;440;1822 0344 0394;W;501;;Invest Cont;1900 W  39TH                         ST
230319134;11/02/2023 12:00:00 AM;Southwest  ;OTHER ASSAULT                                           ;11/02/2023 12:00:00 AM;700;3;333;45;M;SINGLE FAMILY DWELLING                      ;500;AA;2;625;0356 0903 1514 2055 1822;B;501;UNKNOWN WEAPON/OTHER WEAPON;Adult Arrest;3500 S  VICTORIA                     AV
230311148;05/20/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;05/20/2023 12:00:00 AM;1450;3;393;38;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA;2;626;2000 1813 0913 0448 1821 1241;B;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Arrest;4200    CRENSHAW                     BL
230307877;03/16/2023 12:00:00 AM;Southwest  ;ROBBERY                                                 ;03/16/2023 12:00:00 AM;1750;3;393;13;M;SIDEWALK                                    ;112;JA;1;210;2024 1822 0342 0344 1251 0355 1309 0302 0334 1258;B;102;TOY GUN;Juv Arrest;3300 W  41ST                         ST
230306313;02/11/2023 12:00:00 AM;Southwest  ;BURGLARY FROM VEHICLE                                   ;01/01/2023 12:00:00 AM;1000;3;357;39;M;OTHER RESIDENCE                             ;               ;IC;1;330;1302 1822 1609 0329 0344 1307;B;504;;Invest Cont;1100 W  37TH                         PL
230321092;12/10/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;12/10/2023 12:00:00 AM;755;3;377;28;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO;2;626;2000 1813 1814 0400;B;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Adult Other;1200    ROLLAND CURTIS               PL
230315499;08/22/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;08/19/2023 12:00:00 AM;2200;3;318;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;1200 W  23RD                         ST
230312625;06/23/2023 12:00:00 AM;Southwest  ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;06/23/2023 12:00:00 AM;1115;3;334;59;M;RESTAURANT/FAST FOOD                        ;207;AO;1;230;1019 0337 0340 0432 0445 1822 2004 0334;H;210;OTHER KNIFE;Adult Other;CRENSHAW                     BL
230315018;08/14/2023 12:00:00 AM;Southwest  ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/08/2023 12:00:00 AM;2200;3;329;23;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC;2;626;1814 0913 0400 2000;B;502;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;2900 S  FLOWER                       ST
230307931;03/17/2023 12:00:00 AM;Southwest  ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;03/14/2023 12:00:00 AM;1608;3;396;22;X;CLOTHING STORE                              ;               ;IC;1;442;0344 1822 0325 0104;X;405;;Invest Cont;900 W  MARTIN LUTHER KING JR        BL
230308877;04/05/2023 12:00:00 AM;Southwest  ;TRESPASSING                                             ;04/05/2023 12:00:00 AM;1010;3;357;22;X;MTA - EXPO LINE - EXPO/VERMONT              ;               ;AO;2;888;0910 1501 2021;X;945;;Adult Other;1000    EXPOSITION                   BL
230315130;08/16/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;08/16/2023 12:00:00 AM;840;3;358;0; ;SIDEWALK                                    ;               ;IC;1;510;;;102;;Invest Cont;1000 W  34TH                         ST
230311613;05/31/2023 12:00:00 AM;Southwest  ;VEHICLE - STOLEN                                        ;05/31/2023 12:00:00 AM;1630;3;392;0; ;STREET                                      ;               ;IC;1;510;;;101;;Invest Cont;4700    3RD                          AV
230306505;02/17/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;02/17/2023 12:00:00 AM;1840;3;333;60;M;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;740;0329 1202 1300 1309 1822 0202 1238;B;122;;Invest Cont;4400 W  ADAMS                        BL
230318633;10/24/2023 12:00:00 AM;Southwest  ;BRANDISH WEAPON                                         ;10/24/2023 12:00:00 AM;1818;3;377;53;M;STREET                                      ;106;IC;1;761;0449 0913 0302 0334 0361 0603;B;101;UNKNOWN FIREARM;Invest Cont;1200    ROLLAND CURTIS               PL
230308316;03/25/2023 12:00:00 AM;Southwest  ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;03/18/2023 12:00:00 AM;1600;3;353;41;F;SINGLE FAMILY DWELLING                      ;               ;IC;2;745;0329 1407 1822;W;501;;Invest Cont;3700    VIRGINIA                     RD
230320446;11/27/2023 12:00:00 AM;Southwest  ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;11/22/2023 12:00:00 AM;1830;3;336;27;M;VEHICLE, PASSENGER/TRUCK                    ;               ;IC;2;740;0329 1822 1300;H;122;;Invest Cont;3000 S  WESTERN                      AV
230319098;11/01/2023 12:00:00 AM;Southwest  ;BATTERY - SIMPLE ASSAULT                                ;11/01/2023 12:00:00 AM;1025;3;317;33;F;STREET                                      ;400;IC;2;624;0913 0337 0416 0446 1817;B;101;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);Invest Cont;1600 W  ADAMS                        BL
