DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
212112196;08/03/2021 12:00:00 AM;Topanga    ;BATTERY - SIMPLE ASSAULT                                ;08/03/2021 12:00:00 AM;2100;21;2125;39;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;IC
212110762;06/29/2021 12:00:00 AM;Topanga    ;VIOLATION OF RESTRAINING ORDER                          ;05/06/2021 12:00:00 AM;1520;21;2157;51;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;AO
222112036;07/23/2022 12:00:00 AM;Topanga    ;RAPE, FORCIBLE                                          ;04/13/2021 12:00:00 AM;1530;21;2138;13;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
212113119;08/26/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;08/24/2021 12:00:00 AM;1600;21;2147;22;F;PARKING LOT                                 ;               ;IC
212112093;08/01/2021 12:00:00 AM;Topanga    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;07/31/2021 12:00:00 AM;1956;21;2142;52;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
212114927;10/08/2021 12:00:00 AM;Topanga    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;10/07/2021 12:00:00 AM;2300;21;2149;20;M;PARKING LOT                                 ;400;AA
212112780;08/18/2021 12:00:00 AM;Topanga    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;08/17/2021 12:00:00 AM;1700;21;2158;42;M;OTHER BUSINESS                              ;               ;AO
212116450;11/13/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;11/13/2021 12:00:00 AM;1610;21;2175;29;F;PARKING LOT                                 ;               ;IC
212118120;12/29/2021 12:00:00 AM;Topanga    ;BURGLARY FROM VEHICLE                                   ;12/25/2021 12:00:00 AM;941;21;2148;32;F;STREET                                      ;               ;IC
212108932;05/15/2021 12:00:00 AM;Topanga    ;DISCHARGE FIREARMS/SHOTS FIRED                          ;05/15/2021 12:00:00 AM;2335;21;2128;50;M;YARD (RESIDENTIAL/BUSINESS)                 ;104;AA
212104195;01/07/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;01/02/2021 12:00:00 AM;227;21;2161;45;F;DRIVEWAY                                    ;               ;IC
212117670;12/17/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;12/17/2021 12:00:00 AM;930;21;2155;25;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
212111583;07/19/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;07/16/2021 12:00:00 AM;1500;21;2146;35;M;HIGH SCHOOL                                 ;               ;IC
212110062;06/12/2021 12:00:00 AM;Topanga    ;VIOLATION OF RESTRAINING ORDER                          ;06/12/2021 12:00:00 AM;1900;21;2105;35;F;SINGLE FAMILY DWELLING                      ;               ;IC
212110802;07/01/2021 12:00:00 AM;Topanga    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;07/01/2021 12:00:00 AM;530;21;2156;0;M;RESTAURANT/FAST FOOD                        ;               ;IC
212110074;06/12/2021 12:00:00 AM;Topanga    ;BURGLARY FROM VEHICLE                                   ;06/10/2021 12:00:00 AM;1030;21;2111;74;M;PARKING LOT                                 ;               ;IC
212112675;08/16/2021 12:00:00 AM;Topanga    ;VEHICLE - STOLEN                                        ;08/10/2021 12:00:00 AM;1530;21;2146;0; ;STREET                                      ;               ;IC
212105428;02/11/2021 12:00:00 AM;Topanga    ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;02/11/2021 12:00:00 AM;1010;21;2105;47;F;YARD (RESIDENTIAL/BUSINESS)                 ;500;AO
212106988;03/25/2021 12:00:00 AM;Topanga    ;PICKPOCKET                                              ;03/25/2021 12:00:00 AM;1530;21;2146;54;F;CLOTHING STORE                              ;               ;IC
212110880;07/02/2021 12:00:00 AM;Topanga    ;TRESPASSING                                             ;07/02/2021 12:00:00 AM;930;21;2134;63;M;CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEM;               ;IC
212113275;08/30/2021 12:00:00 AM;Topanga    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD;08/26/2021 12:00:00 AM;1630;21;2156;25;F;SHOPPING MALL (COMMON AREA)                 ;               ;IC
212100614;04/02/2021 12:00:00 AM;Topanga    ;SHOPLIFTING-GRAND THEFT ($950.01 & OVER)                ;04/02/2021 12:00:00 AM;1253;21;2158;35;M;OTHER STORE                                 ;               ;AA
212115409;10/19/2021 12:00:00 AM;Topanga    ;ROBBERY                                                 ;10/19/2021 12:00:00 AM;1725;21;2146;34;M;STREET                                      ;304;IC
212111658;07/20/2021 12:00:00 AM;Topanga    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;07/20/2021 12:00:00 AM;1705;21;2136;21;F;STREET                                      ;               ;IC
212115642;10/25/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;10/25/2021 12:00:00 AM;830;21;2133;69;M;SINGLE FAMILY DWELLING                      ;               ;IC
212116618;11/18/2021 12:00:00 AM;Topanga    ;THEFT OF IDENTITY                                       ;07/29/2021 12:00:00 AM;1425;21;2128;26;M;SINGLE FAMILY DWELLING                      ;               ;IC
212117571;12/15/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;12/10/2021 12:00:00 AM;300;21;2136;34;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
212114961;10/09/2021 12:00:00 AM;Topanga    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;10/08/2021 12:00:00 AM;1400;21;2139;0; ;STREET                                      ;               ;IC
212112117;08/02/2021 12:00:00 AM;Topanga    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;08/02/2021 12:00:00 AM;1500;21;2177;61;M;CONDOMINIUM/TOWNHOUSE                       ;400;AA
212111674;07/21/2021 12:00:00 AM;Topanga    ;BURGLARY                                                ;07/20/2021 12:00:00 AM;2200;21;2134;32;M;GARAGE/CARPORT                              ;               ;IC
212105005;01/30/2021 12:00:00 AM;Topanga    ;INTIMATE PARTNER - SIMPLE ASSAULT                       ;01/30/2021 12:00:00 AM;800;21;2146;29;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AA
