DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
221915597;10/11/2022 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);06/01/2020 12:00:00 AM;5;19;1916;9;F;PARK/PLAYGROUND                             ;400;IC
221908685;04/25/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;03/07/2020 12:00:00 AM;1640;19;1974;19;M;SINGLE FAMILY DWELLING                      ;               ;IC
221913658;08/24/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;03/03/2020 12:00:00 AM;1;19;1902;41;M;SINGLE FAMILY DWELLING                      ;               ;IC
221912089;07/13/2022 12:00:00 AM;Mission    ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;01/04/2020 12:00:00 AM;1100;19;1916;14;F;SINGLE FAMILY DWELLING                      ;400;IC
221915337;10/05/2022 12:00:00 AM;Mission    ;RAPE, FORCIBLE                                          ;07/08/2020 12:00:00 AM;600;19;1921;38;F;MOTEL                                       ;400;AO
221917036;11/03/2022 12:00:00 AM;Mission    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;11/03/2020 12:00:00 AM;1415;19;1974;45;M;CONDOMINIUM/TOWNHOUSE                       ;               ;AO
231910853;06/24/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;08/28/2020 12:00:00 AM;1145;19;1921;49;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
221916494;11/02/2022 12:00:00 AM;Mission    ;EXTORTION                                               ;11/02/2020 12:00:00 AM;1225;19;1994;21;M;WEBSITE                                     ;               ;IC
221916131;10/26/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;03/26/2020 12:00:00 AM;2125;19;1994;38;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
221917878;12/13/2022 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);08/01/2020 12:00:00 AM;1200;19;1907;11;F;SINGLE FAMILY DWELLING                      ;400;AO
221918167;12/20/2022 12:00:00 AM;Mission    ;BURGLARY FROM VEHICLE                                   ;12/19/2020 12:00:00 AM;1900;19;1966;27;F;OTHER PLACE OF WORSHIP                      ;               ;IC
221906797;03/10/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;06/30/2020 12:00:00 AM;700;19;1917;28;F;SINGLE FAMILY DWELLING                      ;               ;IC
201909255;04/29/2020 12:00:00 AM;Mission    ;VEHICLE - STOLEN                                        ;04/28/2020 12:00:00 AM;1700;19;1952;0; ;STREET                                      ;               ;IC
231907171;03/21/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);03/15/2020 12:00:00 AM;1200;19;1983;14;F;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;AO
231916568;11/13/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;01/01/2020 12:00:00 AM;1510;19;1988;50;F;SINGLE FAMILY DWELLING                      ;               ;IC
231907935;04/11/2023 12:00:00 AM;Mission    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;09/24/2020 12:00:00 AM;1100;19;1988;45;F;PARKING LOT                                 ;               ;IC
201909450;05/05/2020 12:00:00 AM;Mission    ;ARSON                                                   ;05/05/2020 12:00:00 AM;430;19;1987;42;F;DRIVEWAY                                    ;               ;IC
221912349;07/11/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;10/14/2020 12:00:00 AM;1010;19;1925;55;F;SINGLE FAMILY DWELLING                      ;               ;IC
221916217;10/28/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;12/23/2020 12:00:00 AM;1;19;1912;58;M;SINGLE FAMILY DWELLING                      ;               ;IC
221912361;07/24/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       ;02/24/2020 12:00:00 AM;1200;19;1983;42;M;SINGLE FAMILY DWELLING                      ;               ;IC
