DR_NO;Date Rptd;AREA NAME;Crm Cd Desc;DATE OCC;TIME OCC;AREA;Rpt Dist No;Vict Age;Vict Sex;Premis Desc;Weapon Used Cd;Status
220505521;02/08/2022 12:00:00 AM;Harbor     ;CREDIT CARDS, FRAUD USE ($950.01 & OVER)                ;10/01/2020 12:00:00 AM;1;5;518;42;M;SINGLE FAMILY DWELLING                      ;               ;IC
210505803;02/15/2021 12:00:00 AM;Harbor     ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              ;11/01/2020 12:00:00 AM;1;5;565;0;X;OTHER STORE                                 ;               ;AA
230516282;11/28/2023 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;11/18/2020 12:00:00 AM;1200;5;513;0; ;STREET                                      ;               ;IC
230504426;01/10/2023 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;10/31/2020 12:00:00 AM;1400;5;506;39;M;STREET                                      ;               ;IC
220512200;08/05/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;08/05/2020 12:00:00 AM;1640;5;524;25;M;OTHER PREMISE                               ;               ;IC
220504759;01/20/2022 12:00:00 AM;Harbor     ;BURGLARY                                                ;01/19/2020 12:00:00 AM;500;5;506;36;M;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);               ;IC
220513949;09/20/2022 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       ;08/12/2020 12:00:00 AM;800;5;521;25;M;WEBSITE                                     ;               ;IC
220510809;06/30/2022 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;06/22/2020 12:00:00 AM;1220;5;514;38;F;SINGLE FAMILY DWELLING                      ;               ;IC
220515053;10/19/2022 12:00:00 AM;Harbor     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER);07/10/2020 12:00:00 AM;1500;5;555;7;F;STREET                                      ;400;IC
230506258;03/01/2023 12:00:00 AM;Harbor     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ;07/22/2020 12:00:00 AM;2000;5;567;14;F;SINGLE FAMILY DWELLING                      ;               ;AO
220509311;05/19/2022 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;12/17/2020 12:00:00 AM;2210;5;515;54;F;STREET                                      ;               ;IC
