n,source,target,time_dijkstra (seconds),dist_dijkstra (euclidean_distance),time_turbo (seconds),dist_turbo (euclidean_distance),ok_same_distance,graph_size,graph_id,seed
100,41,35,0.00033459998667240143,1.16038966070760274363,0.00758060003863647580,1.16038966070760274363,True,100,0,2026
100,12,43,0.00027379998937249184,0.97240626611439306970,0.00542920001316815615,0.97240626611439306970,True,100,1,2027
100,83,37,0.00032369996188208461,1.14167714142071163863,0.00555910001276060939,1.14167714142071163863,True,100,2,2028
100,8,78,0.00028440001187846065,0.76902383738263091484,0.00501070002792403102,0.76902383738263091484,True,100,3,2029
100,56,5,0.00030380004318431020,1.02455795317338171913,0.00562980002723634243,1.02455795317338171913,True,100,4,2030
100,54,32,0.00029830000130459666,1.03488502359880052417,0.00520280003547668457,1.03488502359880052417,True,100,5,2031
100,27,7,0.00026719999732449651,1.01052092841731644413,0.00526130001526325941,1.01052092841731644413,True,100,6,2032
100,34,39,0.00029659998835995793,0.77836318552882566291,0.00506900000618770719,0.77836318552882566291,True,100,7,2033
100,68,60,0.00030780001543462276,1.35448474263002238693,0.00504610000643879175,1.35448474263002238693,True,100,8,2034
100,75,66,0.00032470002770423889,0.84379945291710489741,0.00574150000466033816,0.84379945291710489741,True,100,9,2035
100,24,75,0.00027670001145452261,0.96543486802787326084,0.00503080000635236502,0.96543486802787326084,True,100,10,2036
100,0,2,0.00032729998929426074,0.85412183117807471966,0.00553219998255372047,0.85412183117807471966,True,100,11,2037
100,96,51,0.00029799999902024865,0.97005112398677428853,0.00510720000602304935,0.97005112398677428853,True,100,12,2038
100,98,15,0.00030610000248998404,1.05324515539551666343,0.00652629998512566090,1.05324515539551666343,True,100,13,2039
100,73,14,0.00030380004318431020,0.97830648299098832421,0.00516650005010887980,0.97830648299098832421,True,100,14,2040
100,23,57,0.00029100000392645597,0.98878819954997432262,0.00543950003338977695,0.98878819954997432262,True,100,15,2041
100,92,11,0.00031150004360824823,1.10740931543967602302,0.00510519999079406261,1.10740931543967602302,True,100,16,2042
100,48,90,0.00027990003582090139,0.88837065957783034609,0.00583919999189674854,0.88837065957783034609,True,100,17,2043
100,14,17,0.00029110000468790531,0.73148100261885273810,0.00509320001583546400,0.73148100261885273810,True,100,18,2044
100,55,88,0.00029609998455271125,0.97295327661820096843,0.00734870001906529069,0.97295327661820096843,True,100,19,2045
100,17,9,0.00032859999919310212,0.72414166507928701133,0.00517880002735182643,0.72414166507928701133,True,100,20,2046
100,18,6,0.00082489999476820230,0.83707522838462677939,0.00649300002260133624,0.83707522838462677939,True,100,21,2047
100,95,78,0.00027910002972930670,0.95598752972777045755,0.00501489994348958135,0.95598752972777045755,True,100,22,2048
100,69,56,0.00028290000045672059,0.99477970305411778096,0.00649339996743947268,0.99477970305411778096,True,100,23,2049
100,51,1,0.00031929998658597469,0.85783646750597275510,0.00513920001685619354,0.85783646750597275510,True,100,24,2050
100,68,11,0.00029890000587329268,0.74524966461079422686,0.00635789998341351748,0.74524966461079422686,True,100,25,2051
100,25,75,0.00030039995908737183,0.96730169302781898732,0.00506600004155188799,0.96730169302781898732,True,100,26,2052
100,98,59,0.00029419997008517385,1.12384072584671779182,0.00628919998416677117,1.12384072584671779182,True,100,27,2053
100,73,4,0.00030569999944418669,0.77689392448603189489,0.00514859997201710939,0.77689392448603189489,True,100,28,2054
100,46,25,0.00029310001991689205,0.86769642080996922662,0.00570159999188035727,0.86769642080996922662,True,100,29,2055
100,30,22,0.00028939999174326658,1.16915090029793855564,0.00515199999790638685,1.16915090029793855564,True,100,30,2056
100,84,88,0.00029190001077950001,1.02866455361072062225,0.00628819997655227780,1.02866455361072062225,True,100,31,2057
100,31,6,0.00030529999639838934,0.71927763843970327073,0.00521339999977499247,0.71927763843970327073,True,100,32,2058
100,91,89,0.00028699997346848249,1.01193347268722999566,0.00631879997672513127,1.01193347268722999566,True,100,33,2059
100,51,48,0.00030139996670186520,0.76024168282944459829,0.00517160003073513508,0.76024168282944459829,True,100,34,2060
100,36,25,0.00028710003243759274,0.91173666003620090770,0.00550109997857362032,0.91173666003620090770,True,100,35,2061
100,59,52,0.00036149995867162943,0.82624845160780724385,0.00580630003241822124,0.82624845160780724385,True,100,36,2062
100,46,47,0.00031480001052841544,0.99026909663037765430,0.00528899999335408211,0.99026909663037765430,True,100,37,2063
100,14,27,0.00030830001924186945,1.12645482846235944763,0.00522089999867603183,1.12645482846235944763,True,100,38,2064
100,17,64,0.00037319998955354095,1.06566140678622556237,0.00567649997537955642,1.06566140678622556237,True,100,39,2065
100,84,61,0.00037030002567917109,1.06742175029176378231,0.00667879998218268156,1.06742175029176378231,True,100,40,2066
100,10,27,0.00029270001687109470,1.24227024374290651032,0.00601329997880384326,1.24227024374290651032,True,100,41,2067
100,1,73,0.00033159996382892132,1.05338073419648248219,0.00572260003536939621,1.05338073419648248219,True,100,42,2068
100,32,45,0.00033200002508237958,0.73934210737608707653,0.00585279997903853655,0.73934210737608707653,True,100,43,2069
100,88,52,0.00029900000663474202,1.04285248926880957931,0.00555120001081377268,1.04285248926880957931,True,100,44,2070
100,47,90,0.00030640000477433205,1.32845025077410583414,0.00697340001352131367,1.32845025077410583414,True,100,45,2071
100,97,23,0.00035220000427216291,0.97520534334489328288,0.00565189996268600225,0.97520534334489328288,True,100,46,2072
100,80,83,0.00031969998963177204,0.69263810941489611928,0.00630319997435435653,0.69263810941489611928,True,100,47,2073
100,63,94,0.00030349998269230127,0.79844604504230409781,0.00563969998620450497,0.79844604504230409781,True,100,48,2074
100,22,41,0.00029769999673590064,0.92560459967078501098,0.00645910005550831556,0.92560459967078501098,True,100,49,2075
500,400,302,0.00226949999341741204,1.13310897133302423967,0.03724729997338727117,1.13310897133302423967,True,500,0,2076
500,174,359,0.00194949994329363108,0.86055378465695386847,0.03130790003342553973,0.86055378465695386847,True,500,1,2077
500,462,184,0.00218239997047930956,0.82095746295128346759,0.03146199998445808887,0.82095746295128346759,True,500,2,2078
500,365,112,0.00199790002079680562,1.22725851915075789833,0.03217359998961910605,1.22725851915075789833,True,500,3,2079
