n,source,target,time_dijkstra,dist_dijkstra,time_turbo,dist_turbo,ok_same_distance,graph_size,graph_id
100,58,46,0.00013529998250305653,0.9840360991600635,0.005060900002717972,inf,False,100,0
100,92,36,7.350003579631448e-05,0.5637425297105139,0.005364199983887374,0.5637425297105139,True,100,1
100,27,0,0.000146100006531924,1.1345158515695797,0.00749400001950562,1.2432167938378322,False,100,2
100,29,96,0.00012470001820474863,1.2288819162779485,0.022722400026395917,inf,False,100,3
100,94,30,0.00014620000729337335,0.7663676311533636,0.005061599949840456,inf,False,100,4
100,26,96,0.00010469998233020306,1.5510916669826214,0.0038468000129796565,inf,False,100,5
100,26,41,7.609999738633633e-05,1.0953945848472575,0.0046533000422641635,inf,False,100,6
100,22,17,0.0001515000476501882,0.9680183617277558,0.005555699986871332,0.9680183617277558,True,100,7
100,16,60,6.960000609979033e-05,1.4607776413990656,0.0030029999907128513,inf,False,100,8
100,71,57,6.280001252889633e-05,1.3450236930543906,0.003061399969737977,inf,False,100,9
100,53,32,7.199996616691351e-05,1.1979174192233535,0.0032938000513240695,inf,False,100,10
100,72,10,6.550003308802843e-05,0.9759224617572451,0.003195500001311302,inf,False,100,11
100,71,41,6.000004941597581e-05,2.01953488346256,0.003228899964597076,2.01953488346256,True,100,12
100,72,64,6.120000034570694e-05,1.459663905817926,0.003246299980673939,inf,False,100,13
100,12,1,6.330001633614302e-05,0.6034362440920442,0.0033248999970965087,inf,False,100,14
100,98,86,6.800005212426186e-05,0.4327094462014174,0.0034270999603904784,0.4327094462014174,True,100,15
100,30,61,6.619998021051288e-05,1.3591642571925007,0.0033870000042952597,inf,False,100,16
100,92,79,8.279999019578099e-05,1.224008115506133,0.003216999990399927,inf,False,100,17
100,41,39,6.360001862049103e-05,0.7046848061972588,0.0033856999943964183,0.7046848061972588,True,100,18
100,7,88,8.570001227781177e-05,1.231337689506038,0.0032491000019945204,inf,False,100,19
100,44,16,7.609999738633633e-05,1.4787350497839584,0.0034217999782413244,1.4787350497839584,True,100,20
100,34,90,6.920000305399299e-05,0.9178449998091681,0.003056699992157519,inf,False,100,21
100,64,65,5.7399971410632133e-05,0.8440632937108683,0.0032376000308431685,inf,False,100,22
100,95,53,6.839999696239829e-05,1.5559383395244708,0.003071199986152351,inf,False,100,23
100,14,6,6.600003689527512e-05,1.335223546013057,0.0035528999869711697,inf,False,100,24
500,449,219,0.0004847000236622989,1.1047260283028062,0.01072679995559156,inf,False,500,0
500,188,340,0.0004188999882899225,0.37402039928627195,0.008583199989516288,0.37402039928627195,True,500,1
500,488,229,0.0003983000060543418,1.0808038739892225,0.04557859996566549,inf,False,500,2
500,447,328,0.00043789995834231377,2.0616439638720885,0.009690200036857277,inf,False,500,3
500,396,381,0.000416700029745698,1.5339576039465457,0.010161900019738823,inf,False,500,4
500,198,395,0.0006338999955914915,1.6802770348383493,0.012567500001750886,inf,False,500,5
500,361,442,0.0005779999773949385,1.727463966197772,0.012212999979965389,inf,False,500,6
500,463,68,0.0004803999909199774,1.9055555888346998,0.011560600018128753,inf,False,500,7
500,213,30,0.0004351999959908426,1.2732832461936439,0.01186769997002557,inf,False,500,8
500,443,122,0.0005711999838240445,1.1791524877131665,0.011320199992042035,inf,False,500,9
500,20,74,0.00041959999362006783,1.3075214548297591,0.010477299976628274,inf,False,500,10
500,297,388,0.0005821000086143613,1.283271991619868,0.010130300011951476,inf,False,500,11
500,392,308,0.0004239000263623893,1.767254829247317,0.009013200004119426,inf,False,500,12
500,285,233,0.0004220000118948519,1.3341896320923194,0.009722799994051456,inf,False,500,13
500,34,475,0.00038709997897967696,2.0623415549782704,0.010060500004328787,inf,False,500,14
500,226,177,0.0004157000221312046,1.58668552975365,0.010373700002674013,inf,False,500,15
500,54,157,0.0004589000018313527,2.046467841219508,0.010027799988165498,inf,False,500,16
500,48,316,0.0004016000311821699,0.28345452438724644,0.00945999997202307,0.28345452438724644,True,500,17
500,77,393,0.0004921000218018889,1.8377545054403162,0.012453900009859353,inf,False,500,18
500,239,422,0.000894299999345094,1.1489829426711764,0.014949000033084303,inf,False,500,19
500,31,287,0.0005018000374548137,1.5055456609997009,0.011289399990346283,inf,False,500,20
500,236,367,0.0004613000201061368,1.3487387649154972,0.011010700021870434,inf,False,500,21
500,391,164,0.0004650999908335507,2.6023759782075535,0.010859400033950806,inf,False,500,22
500,128,338,0.0007787999929860234,1.569647217054224,0.016045199998188764,inf,False,500,23
500,415,10,0.0006185999955050647,1.6192908375073345,0.01273000001674518,inf,False,500,24
1000,376,580,0.0010761000448837876,1.920896377055945,0.04539959999965504,inf,False,1000,0
1000,490,818,0.0018922999734058976,2.755127933000608,0.013126700010616332,inf,False,1000,1
1000,521,587,0.0016845999634824693,1.9857198070771518,0.015831800003070384,inf,False,1000,2
1000,873,45,0.0010026000090874732,1.6298525443313088,0.014861000003293157,inf,False,1000,3
1000,352,293,0.001041000010445714,1.486426665340245,0.01626230002148077,inf,False,1000,4
1000,805,923,0.001046599994879216,1.932342140796988,0.016260100004728884,inf,False,1000,5
1000,89,541,0.0009825999732129276,1.0043711678753908,0.01588710001669824,inf,False,1000,6
1000,511,442,0.0012727000284940004,1.7690863241661563,0.021073599986266345,inf,False,1000,7
1000,387,4,0.0012581999762915075,2.1228305240506975,0.014738800004124641,inf,False,1000,8
1000,837,305,0.0011260999599471688,1.2430873938204408,0.014132799988146871,inf,False,1000,9
1000,848,240,0.0009314999915659428,1.6658531444409264,0.01492270000744611,inf,False,1000,10
1000,575,916,0.000982399971690029,1.515510116586701,0.01454780000494793,inf,False,1000,11
1000,71,226,0.000944300030823797,1.13960840848082,0.013064600003417581,inf,False,1000,12
1000,899,960,0.001943599956575781,1.0712271939143183,0.021515000029467046,inf,False,1000,13
1000,320,973,0.0010947000118903816,1.9611228554354665,0.013054799987003207,inf,False,1000,14
1000,191,849,0.0013429000391624868,1.6144944000749524,0.012872299994342029,inf,False,1000,15
1000,2,36,0.0010356999700888991,1.7667281792284553,0.013151200022548437,inf,False,1000,16
1000,497,554,0.0014606000040657818,1.4245788045781658,0.04360690002795309,inf,False,1000,17
1000,154,861,0.0009821000276133418,2.526244253451325,0.013571999967098236,inf,False,1000,18
1000,465,949,0.0009507000213488936,1.4878669334145695,0.013163299998268485,inf,False,1000,19
1000,162,742,0.0009460999863222241,1.44554575849679,0.013303500018082559,inf,False,1000,20
1000,248,509,0.000950200017541647,0.917668473209792,0.013786799972876906,inf,False,1000,21
1000,226,889,0.0009809000184759498,0.8694422140013212,0.013301199942361563,inf,False,1000,22
1000,56,111,0.0009511999669484794,1.5796784008449416,0.013553900003898889,inf,False,1000,23
1000,252,329,0.0011559000122360885,1.834500064947316,0.01303670002380386,inf,False,1000,24
